COD_PREDIO,PRODUCTO,PRODUCC_ANUAL_TN_HA,COSTO_TN
1,Arroz,80,150
2,Papa,100,60
3,Maíz,120,100
4,Maíz,120,100
5,Arroz,80,150
6,Papa,100,60
7,Arroz,80,150
8,Arroz,80,150
9,Arroz,80,150
10,Maíz,120,100
11,Arroz,80,150
12,Arroz,80,150
13,Maíz,120,100
14,Papa,100,60
15,Arroz,80,150
16,Arroz,80,150
17,Maíz,120,100
18,Arroz,80,150
19,Arroz,80,150
20,Arroz,80,150
21,Maíz,120,100
22,Papa,100,60
23,Arroz,80,150
24,Papa,100,60
25,Arroz,80,150
26,Maíz,120,100
27,Arroz,80,150
28,Arroz,80,150
29,Arroz,80,150
30,Papa,100,60
31,Arroz,80,150
32,Papa,100,60
33,Maíz,120,100
34,Papa,100,60
35,Papa,100,60
36,Maíz,120,100
37,Maíz,120,100
38,Arroz,80,150
39,Maíz,120,100
40,Maíz,120,100
41,Maíz,120,100
42,Papa,100,60
43,Papa,100,60
44,Maíz,120,100
45,Arroz,80,150
46,Arroz,80,150
47,Arroz,80,150
48,Papa,100,60
49,Maíz,120,100
50,Papa,100,60
51,Arroz,80,150
52,Papa,100,60
53,Arroz,80,150
54,Maíz,120,100
55,Arroz,80,150
56,Arroz,80,150
57,Papa,100,60
58,Arroz,80,150
59,Maíz,120,100
60,Papa,100,60
61,Maíz,120,100
62,Papa,100,60
63,Papa,100,60
64,Papa,100,60
65,Papa,100,60
66,Arroz,80,150
67,Arroz,80,150
68,Arroz,80,150
69,Papa,100,60
70,Maíz,120,100
71,Arroz,80,150
72,Maíz,120,100
73,Maíz,120,100
74,Arroz,80,150
75,Papa,100,60
76,Papa,100,60
77,Papa,100,60
78,Papa,100,60
79,Arroz,80,150
80,Arroz,80,150
81,Arroz,80,150
82,Arroz,80,150
0,Arroz,80,150
